id,id_habito,tiempo,fecha
1,1,05:00:00,2026-03-22
2,1,10:00:00,2026-03-24
3,3,01:00:00,2026-03-25
4,3,03:00:00,2026-03-24
5,4,01:00:00,2026-03-22
6,4,01:00:00,2026-03-20
7,4,01:00:00,2026-03-26
8,4,01:00:00,2026-03-25
9,3,02:00:00,2026-03-25
10,3,03:00:00,2026-03-24
11,4,02:00:00,2026-03-27
12,3,01:00:00,2026-04-01
13,4,01:00:00,2026-04-01
14,1,01:00:00,2026-04-01
15,5,20:00:00,2026-04-01
17,6,03:00:00,2026-04-02
18,5,24:00:00,2026-04-02
20,7,00:00:01,2026-04-06
21,7,00:00:01,2026-04-06
23,7,00:00:01,2026-04-06
24,7,00:00:02,2026-04-06
25,7,00:00:01,2026-04-06
26,7,00:00:01,2026-04-06
27,7,00:00:01,2026-04-06
28,1,01:35:25,2026-04-06
29,3,00:10:42,2026-04-06
30,1,00:00:07,2026-04-06
31,3,00:01:00,2026-04-09
32,5,00:05:00,2026-04-09
33,2,01:00:00,2026-04-09
34,3,02:00:00,2026-04-09
35,5,00:00:01,2026-04-14
36,5,00:00:03,2026-04-14
37,5,00:00:01,2026-04-14
38,3,00:00:02,2026-04-14
39,3,00:00:01,2026-04-14
40,7,01:05:10,2026-04-13
